filename,description
Paritosh Sen/Still Life with Fruits and Vegetables_Paritosh Sen.jpg,"a painting of fruit and vegetables on a table
"
Paritosh Sen/Woman eating bhutta_Paritosh Sen.jpg,"a painting of a woman in a red and white checkered dress
"
Paritosh Sen/Untitled (Landscape with Trees)_Paritosh Sen.jpg,"an abstract painting with a woman and a dog
"
Paritosh Sen/Untitled (Man with a Flute)_Paritosh Sen.jpg,"a painting of a man playing a flute
"
Paritosh Sen/Mussoorie_Paritosh Sen.jpg,"artwork by person, mountain landscape, made of oil on canvas
"
Paritosh Sen/Untitled (Two Women)_Paritosh Sen.jpg,"a painting of a woman with a hat and a knife
"
Paritosh Sen/Young Girl Making Soap Bubbles_Paritosh Se.jpg,"a painting of a girl blowing bubbles in the air
"
Paritosh Sen/Untitled (Mother and Child)_Paritosh Sen.jpg,"a painting of two monkeys sitting on a bench
"
"Paritosh Sen/Rain over Benares, India_Paritosh Sen.jpg","a painting of a city with clouds in the sky
"
Paritosh Sen/Untitled (Woman with a Parrot)_Paritosh Sen.jpg,"a painting of two people sitting on a bench
"
Paritosh Sen/Untitled (Seated Woman)_Paritosh Sen.jpg,"a painting of a girl with a flower in her hand
"
Paritosh Sen/Untitled (Man with a Beard)_Paritosh Sen.jpg,"a drawing of an old man with a beard
"
Paritosh Sen/Dilruba Player or Kumundini_Paritosh Sen.jpg,"a painting of a woman playing a sitar
"
Paritosh Sen/Untitled (Joueur de Flute)_Paritosh Sen.jpg,"a painting of a man playing a flute
"
Paritosh Sen/Refugees_Paritosh Sen.jpg,"a painting of people in a train station
"
Paritosh Sen/Untitled (Woman with a Fan)_Paritosh Sen.jpg,"a painting of a little girl playing in the rain
"
Paritosh Sen/The Family_Paritosh Sen.jpg,"a painting of a woman and her children
"
Paritosh Sen/Untitled (Landscape with River)_Paritosh Sen.jpg,"two black and white drawings of a woman and a man
"
Paritosh Sen/Untitled (Portrait of a Woman)_Paritosh Sen.jpg,"an indian woman with a red sari and a blue scarf
"
Paritosh Sen/Abstract Composition_Paritose Sen.jpg,"the art of the cubist revolution
"
Paritosh Sen/Untitled (Abstract Composition)_Paritosh Sen.jpg,"the art of the cubist revolution
"
Paritosh Sen/Untitled (Still Life with Fish)_Paritosh Sen.jpg,"a painting of an old man sitting on a chair
"
Paritosh Sen/Benares Ghat_Paritosh Sen.jpg,"a painting of a city with clouds in the sky
"
Paritosh Sen/Untitled (Still Life with Flowers)_Paritosh Sen.jpg,"a painting of a woman and a man in a room
"
Claude Monet /Claude monet Landscape(1).jpg,"a painting of a garden with trees and flowers
"
Claude Monet /monet-woman-in-the-green-dress-camille-1866.jpg,"a painting of a woman in green and black dress
"
Claude Monet /claude-monet-gare-saint-lazare-1877.jpg,"a painting of a train station with steam coming out of the windows
"
Claude Monet /Claude monet The garden paintings(1).jpg,"a painting of water lilies and willow trees
"
Claude Monet /claude-monet-the-magpie.jpg,"a painting of a snowy landscape with a gate and fence
"
Claude Monet /Water lilies- Claude Monet.jpg,"water lilies by claude monet canvas prints
"
Claude Monet /Claude monet Japanese bridge over a pod.jpg,"a painting of a bridge over a pond of water lilies
"
Claude Monet /claude-monet-giverny-water-lilies(1).jpg,"a painting of water lilies in a pond
"
Claude Monet /Claude monet Tallenge.jpg,"claude monet - haystacks at sunset
"
Claude Monet /claude-monet-houses-of-parliament.jpg,"a painting of the houses of parliament at sunset
"
Claude Monet /claude-monet-haystacks-sunset(1).jpg,"a painting of a haystack in the sunset
"
Claude Monet /Claude monet Train station.jpg,"a painting of a train station with smoke coming out of the windows
"
Claude Monet /Claude monet Landscape at vetheuli.jpg,"a painting of a field
"
Claude Monet /monet-la-grenouillere.jpg,"a painting of people on a dock near a lake
"
Claude Monet /Claude monet Train station(1).jpg,"a painting of a train station with smoke coming out of the windows
"
Claude Monet /Claude monet Painting nature from a small boat.jpg,"a painting of the sun setting over the river
"
Claude Monet /Claude monet Bridge over a  pond of water lilies.jpg,"a painting of a bridge over a pond of water lilies
"
Claude Monet /Claude monet The garden paintings.jpg,"a painting of water lilies and willow trees
"
Claude Monet /Claude monet Grain stack in the sunlight(1).jpg,"a painting of hay bales in the sunset
"
Claude Monet /Claude monet Bridge over a  pond of water lilies(1).jpg,"a painting of a bridge over a pond of water lilies
"
Claude Monet /Claude Monet The late years(1).jpg,"a painting of water lilies in a pond
"
Claude Monet /Claude Monet lady in the Garden(1).jpg,"a painting of a woman in a white dress standing in a garden
"
Claude Monet /Claude Monet Impression sunrise(1).jpg,"the seine at sunset, 1879, by person
"
Claude Monet /claude-monet-haystacks-sunset.jpg,"a painting of a haystack in the sunset
"
Claude Monet /Claude monet Grain stack in the sunlight.jpg,"a painting of hay bales in the sunset
"
Claude Monet /claude-monet-bordighera.jpg,"a painting of trees and a view of the ocean
"
Claude Monet /01-rouen-cathedral-the-gate-and-the-tower.jpg,"a painting of a cathedral with a large tower
"
Claude Monet /Claude Monet The late years.jpg,"a painting of water lilies in a pond
"
Claude Monet /Claude Monet Impression sunrise.jpg,"the seine at sunset, 1879, by person
"
Claude Monet /Claude monet San Giorgio Maggiore at Dusk.jpg,"a painting of a church at sunset
"
Claude Monet /claude-monet-the-magpie(1).jpg,"a painting of a snowy landscape with a gate and fence
"
Claude Monet /Claude monet Landscape.jpg,"a painting of a garden with trees and flowers
"
Claude Monet /Claude monet Painting in Plein air(1).jpg,"claude monet - the cliffs at etretat
"
Claude Monet /Claude Monet The promenande on the cliff Impressionist.jpg,"painting - two women on the cliff at pourtout by claude monet
"
Claude Monet /Claude monet Painting nature from a small boat(1).jpg,"a painting of the sun setting over the river
"
Claude Monet /Claude monet Water Lilies(1).jpg,"a painting of water lilies in a pond
"
Claude Monet /claude-monet-bordighera(1).jpg,"a painting of trees and a view of the ocean
"
Claude Monet /claude-monet-giverny-water-lilies.jpg,"a painting of water lilies in a pond
"
Claude Monet /claude-monet-houses-of-parliament(1).jpg,"a painting of the houses of parliament at sunset
"
Claude Monet /Claude monet Landscape at vetheuli(1).jpg,"a painting of a field
"
Claude Monet /Claude Monet lady in the Garden.jpg,"a painting of a woman in a white dress standing in a garden
"
Claude Monet /claude-monet-gare-saint-lazare-1877(1).jpg,"a painting of a train station with steam coming out of the windows
"
Claude Monet /Claude monet Painting in Plein air.jpg,"claude monet - the cliffs at etretat
"
Claude Monet /monet-woman-in-the-green-dress-camille-1866(1).jpg,"a painting of a woman in green and black dress
"
Claude Monet /Claude Monet rouen-cathedral-the-gate-and-the-tower.jpg,"a painting of a cathedral with a large tower
"
Claude Monet /Claude monet San Giorgio Maggiore at Dusk(1).jpg,"a painting of a church at sunset
"
Claude Monet /monet-la-grenouillere(1).jpg,"a painting of people on a dock near a lake
"
Claude Monet /Claude monet Water Lilies.jpg,"a painting of water lilies in a pond
"
Claude Monet /Claude monet Tallenge(1).jpg,"claude monet - haystacks at sunset
"
Gerard Richter/Chromatic Odyssey_Gerhard Richter(1).jpg,"abstract painting with many colors and shapes
"
Gerard Richter/Contemporary Art_Gerhard Richter.jpg,"an abstract painting with red, yellow and blue paint
"
Gerard Richter/Engadin_Gerhard Richter - Copy(1).jpg,"an abstract painting with black and white paint
"
Gerard Richter/Engadin_Gerhard Richter - Copy.jpg,"an abstract painting with black and white paint
"
Gerard Richter/Frieze_Gerhard Richter.jpeg,"a painting with yellow, green and blue colors
"
Gerard Richter/Widewalls_Gerhard Richter.jpg,"a painting of a man with a face covered in paint
"
Gerard Richter/Widewalls_Gerhard Richter(1).jpg,"a painting of a man with a face covered in paint
"
Gerard Richter/Radical Sences_Gerhard Richter(1).jpg,"an abstract painting with green, yellow and black paint
"
Gerard Richter/Korn_Gerhard Richter.jpg,"an abstract painting with yellow, green and red colors
"
Gerard Richter/Color And Texture_Gerhard Richter(1).jpg,"an abstract painting with green, yellow and blue colors
"
Gerard Richter/Minnie Muse_Gerhard Richter(1).jpg,"a man painting a large painting on a wall
"
Gerard Richter/Berlin_Gerhard Richter.jpg,"a painting of a colorful abstract painting on a wall
"
Gerard Richter/Metamorphosis_Gerhard Richter.jpg,"an abstract painting with red, yellow and black paint
"
Gerard Richter/Metamorphosis_Gerhard Richter(1).jpg,"an abstract painting with red, yellow and black paint
"
Gerard Richter/Clarendon Fine Art_Gerhard Richter.jpg,"an abstract painting with green, yellow and blue colors
"
Gerard Richter/The Warhouse Dallas_Gerhard Richter(1).jpg,"an abstract painting with red, green and yellow colors
"
Gerard Richter/Abstract Painting_Gerard Richter.jpg,"an abstract painting with many colors and lines
"
Gerard Richter/Ice 2_Gerhard Richter(1).jpg,"an abstract painting with red, green and yellow paint
"
Gerard Richter/Contemporary Art_Gerhard Richter(1).jpg,"an abstract painting with red, yellow and blue paint
"
Gerard Richter/Meer_Gerhard Richter(1).jpg,"a painting with a large amount of paint on it
"
Gerard Richter/Frieze_Gerhard Richter(1).jpeg,"a painting with yellow, green and blue colors
"
Gerard Richter/Meer_Gerhard Richter.jpg,"a painting with a large amount of paint on it
"
Gerard Richter/Rides Again_Gerhard Richter.jpg,"an abstract painting with red, green and black paint
"
Gerard Richter/Nationalgalerie_Gerhard Richter.jpg,"a painting of a colorful painting with people walking by
"
Gerard Richter/Color And Texture_Gerhard Richter.jpg,"an abstract painting with green, yellow and blue colors
"
Gerard Richter/The Warhouse Dallas_Gerhard Richter.jpg,"an abstract painting with red, green and yellow colors
"
Gerard Richter/Clarendon Fine Art_Gerhard Richter(1).jpg,"an abstract painting with green, yellow and blue colors
"
Gerard Richter/Berlin_Gerhard Richter(1).jpg,"a painting of a colorful abstract painting on a wall
"
Gerard Richter/Rides Again_Gerhard Richter(1).jpg,"an abstract painting with red, green and black paint
"
Gerard Richter/Radical Sences_Gerhard Richter.jpg,"an abstract painting with green, yellow and black paint
"
Gerard Richter/Abstract Painting_Gerard Richter(1).jpg,"an abstract painting with many colors and lines
"
Gerard Richter/Korn_Gerhard Richter(1).jpg,"an abstract painting with yellow, green and red colors
"
Gerard Richter/Nationalgalerie_Gerhard Richter(1).jpg,"a painting of a colorful painting with people walking by
"
Gerard Richter/Chromatic Odyssey_Gerhard Richter.jpg,"abstract painting with many colors and shapes
"
Gerard Richter/Minnie Muse_Gerhard Richter.jpg,"a man painting a large painting on a wall
"
Gerard Richter/Ice 2_Gerhard Richter.jpg,"an abstract painting with red, green and yellow paint
"
Salvador Dali/Drawing With Frame_Salvador Dali.jpg,"painting - the head of a man in the desert by salvador dali
"
Salvador Dali/Resentment_Salvador Dali.png,"salvador dali, the dream of the fish, oil on canvas, by salvador dali
"
Salvador Dali/Abstract_Salvador Dali.jpg,"a painting of a man with a mustache and green face
"
Salvador Dali/Riddle Of Desire_Salvador Dali(1).jpg,"salvador dali - the persistence of memory
"
Salvador Dali/Elephant Style_Salvador Dali(1).jpg,"a painting of a man standing on stilts with an elephant
"
Salvador Dali/Metamorphisis_Salvador Dali(1).jpg,"salvador dali, the dream of the worm and the dream of the butterfly
"
Salvador Dali/Touch Of Food_Salvador Dali.jpg,"a painting of a ship with butterflies on it
"
Salvador Dali/Swans_Salvador Dali(1).jpg,"the painting shows a painting of a man and a woman in the water
"
Salvador Dali/Firetti_Salvador Dali.jpg,"a sculpture of a snake on a tree branch
"
Salvador Dali/Fueled By Fuels_Salvador Dali.jpg,"the persistence of memory by salvador dali
"
Salvador Dali/Elephants_Salvador Dali.jpg,"the painting shows two people walking on stilts
"
Salvador Dali/Artwork Index_Salvador Dali(1).jpg,"salvador dali - the dream of the worm
"
Salvador Dali/Sleep_Salvador Dali(1).jpg,"salvador dali the persistence of memory
"
Salvador Dali/Digital_Salvador Dali(1).jpg,"a painting of the virgin mary and a sword
"
Salvador Dali/Mammoth_Salvador Dali.jpg,"the painting is titled ""the flying machines""
"
Salvador Dali/Mammoth_Salvador Dali(1).jpg,"the painting is titled ""the flying machines""
"
Salvador Dali/Surreal Mastery_Salvador Dali(1).jpg,"salvador dali - the world in an egg
"
Salvador Dali/Artwork Index_Salvador Dali.jpg,"salvador dali - the dream of the worm
"
Salvador Dali/Elephant Style_Salvador Dali.jpg,"a painting of a man standing on stilts with an elephant
"
Salvador Dali/Firetti_Salvador Dali(1).jpg,"a sculpture of a snake on a tree branch
"
Salvador Dali/Sugathapala_Salvador Dali.jpg,"salvador dali painting - salvador dali fine art print
"
Salvador Dali/Sugathapala_Salvador Dali(1).jpg,"salvador dali painting - salvador dali fine art print
"
Salvador Dali/Fueled By Fuels_Salvador Dali(1).jpg,"the persistence of memory by salvador dali
"
Salvador Dali/Enigma_Salvador Dali(1).jpg,"salvador dali - the persistence of memory
"
Salvador Dali/Riddle Of Desire_Salvador Dali.jpg,"salvador dali - the persistence of memory
"
Salvador Dali/Outer Space_Salvador Dali.jpg,"the painting shows a colorful landscape with many objects
"
Salvador Dali/Resentment_Salvador Dali(1).png,"salvador dali, the dream of the fish, oil on canvas, by salvador dali
"
Salvador Dali/Drawing With Frame_Salvador Dali(1).jpg,"painting - the head of a man in the desert by salvador dali
"
Salvador Dali/Sleep_Salvador Dali.jpg,"salvador dali the persistence of memory
"
Salvador Dali/Digital_Salvador Dali.jpg,"a painting of the virgin mary and a sword
"
Salvador Dali/Swans_Salvador Dali.jpg,"the painting shows a painting of a man and a woman in the water
"
Salvador Dali/The Elephants_Salvador Dali(1).jpg,"salvador dali - the world in a glass egg
"
Salvador Dali/Outer Space_Salvador Dali(1).jpg,"the painting shows a colorful landscape with many objects
"
Salvador Dali/Surreal Mastery_Salvador Dali.jpg,"salvador dali - the world in an egg
"
Salvador Dali/Elephants_Salvador Dali(1).jpg,"the painting shows two people walking on stilts
"
Salvador Dali/Metamorphisis_Salvador Dali.jpg,"salvador dali, the dream of the worm and the dream of the butterfly
"
Salvador Dali/Touch Of Food_Salvador Dali(1).jpg,"a painting of a ship with butterflies on it
"
Salvador Dali/Enigma_Salvador Dali.jpg,"salvador dali - the persistence of memory
"
Salvador Dali/Abstract_Salvador Dali(1).jpg,"a painting of a man with a mustache and green face
"
Salvador Dali/The Elephants_Salvador Dali.jpg,"salvador dali - the world in a glass egg
"
"J M W Turner/Joseph_Mallord_William_Turner_-_Clare_Hall_and_King’s_College_Chapel,_Cambridge,_from_the_Banks_of_the_River_Cam_-_Google_Art_Project.jpg","a painting of a large building with a bridge and trees
"
J M W Turner/450px-Joseph_Mallord_William_Turner_-_London_from_Greenwich_Park_-_Google_Art_Project.jpg,"a painting of a city with buildings in the distance
"
"J M W Turner/Joseph_Mallord_William_Turner,_English_-_The_Burning_of_the_Houses_of_Lords_and_Commons,_October_16,_1834_-_Google_Art_Project.jpg","the burning of the tower of london by joseph turner
"
"J M W Turner/Joseph_Mallord_William_Turner,_The_Evening_of_the_Deluge,_c._1843,_NGA_46064.jpg","the painting shows a scene with people in a boat
"
J M W Turner/450px-Chicago_art_inst_turner_vallee_aoste.jpg,"the stormy sea, by joseph turner
"
"J M W Turner/Turners_House,_Cheyne_Walk,_Chelsea,_1887_by_Philip_Norman.jpg","a painting of a house with a fence and a car parked in front
"
J M W Turner/Joseph_Mallord_William_Turner_(1775-1851)_-_The_Departure_of_the_Fleet_-_N00554_-_National_Gallery.jpg,"the painting shows a scene of people walking in the city
"
"J M W Turner/Joseph_Mallord_William_Turner_-_Fisherman_s_Cottage,_Dover_-_Google_Art_Project.jpg","a drawing of boats on the shore near a building
"
"J M W Turner/Turner_Cologne,_the_Arrival_of_a_Packet-Boat,_Evening.jpg","a painting of boats on the water near a city
"
"J M W Turner/Joseph_Mallord_William_Turner_-_The_Burning_of_the_Houses_of_Lords_and_Commons,_16_October_1834_-_1942.647_-_Cleveland_Museum_of_Art.jpg","the burning of the house of lords by joseph turner
"
"J M W Turner/Joseph_Mallord_William_Turner_-_Norham_Castle,_Sunrise_-_WGA23182.jpg","a painting of a horse standing in water with a mountain in the background
"
J M W Turner/Joseph_Mallord_William_Turner_(1775-1851)_-_The_Field_of_Waterloo_-_NG500_-_Tate.jpg,"the birth of jesus in the wilderness by joseph marcus
"
J M W Turner/450px-Slave-ship.jpg,"the painting shows a ship in the ocean with a sun setting behind it
"
"J M W Turner/455px-The_Fighting_Temeraire,_JMW_Turner,_National_Gallery.jpg","the great fire of london, 1834, by joseph joseph w turner
"
"J M W Turner/Saltash_with_the_Water_Ferry,_Cornwall_MET_DP169566.jpg","a painting of a harbor with boats and people
"
"J M W Turner/Venice_-_The_Dogana_and_San_Giorgio_Maggiore_by_Joseph_Mallord_William_Turner,_1834,_oil_on_canvas,_view_2_-_National_Gallery_of_Art,_Washington_-_DSC00005.JPG.jpg","the grand canal, venice, 1851
"
J M W Turner/Joseph_Mallord_William_Turner_-_The_Angler_-_Google_Art_Project.jpg,"a painting of a man and woman sitting on a rock by a stream
"
J M W Turner/330px-Joseph_Mallord_William_Turner_(British_-_Modern_Rome-Campo_Vaccino_-_Google_Art_Project.jpg,"the roman forum and the temple of vesta
"
"J M W Turner/(Barcelona)_Morning_amongst_the_Coniston_Fells,_Cumberland_-_William_Turner_-_Tate_Britain.jpg","a painting of a mountain landscape with a river in the distance
"
J M W Turner/Joseph_Mallord_William_Turner_-_Snow_Storm_-_Steam-Boat_off_a_Harbour_s_Mouth_-_WGA23178.jpg,"the stormy sea, 1851-1852, by joseph turner jr
"
J M W Turner/Wreckers_Coast_of_Northumberland_Joseph_Mallord_William_Turner.jpeg,"the storm at sea by joseph turner jr
"
J M W Turner/Linnell_-_J.M.W._Turner.jpg,"a painting of a man in a coat and tie
"
"J M W Turner/Turner_-_The_Wreck_Buoy,_c.1849,_WAG_310.jpg","a painting of boats in the ocean with a rainbow
"
J M W Turner/J.M.W._Turner_s_Rockets_and_Blue_Lights_(Close_at_Hand)_to_Warn_Steamboats_of_Shoal_Water.jpg,"the storm at sea by joseph turner jr
"
J M W Turner/Joseph_Mallord_William_Turner_024.jpg,"a painting of boats in rough water with clouds in the background
"
J M W Turner/Joseph_Mallord_William_Turner_081.jpg,"the descent of the angels into hell, by joseph marcus
"
J M W Turner/467px-Joseph_Mallord_William_Turner_-_Dutch_Boats_in_a_Gale_-_WGA23163.jpg,"a painting of a boat in rough water with a storm in the background
"
J M W Turner/Caerlaverock_Castle_by_Joseph_Mallord_William_Turner_-_Joseph_Mallord_William_Turner_-_ABDAG000623.jpg,"the castle of the countess of lancaster, 1851
"
"J M W Turner/453px-Turner_-_Rain,_Steam_and_Speed_-_National_Gallery_file.jpg","a painting of a train traveling down a track
"
J M W Turner/DortorDordrecht.jpg,"a painting of boats on the water with a city in the background
"
Edvard Munch/red-and-white-1900-edvard munch-expressionism.jpg,"edvard munch, the two girls, 1887
"
Edvard Munch/Model With Hands Resting on Knees_Edvard Munch_1926_Expressionism.jpeg,"a painting of a woman sitting in a chair
"
Edvard Munch/The Dance Of Life- Edvard Munch-Expressionism-1900.jpeg,"edvard munch the dance of death, oil on canvas, 1894
"
Edvard Munch/Dance On the Shore- Edvard Munch-1900-Expressionism.jpeg,"a painting of people walking on the beach by the water
"
Edvard Munch/self-portrait-in-a-bottle-of-wine-edvard-munch-1906-expressionism.jpg,"a painting of a man sitting at a table with wine
"
Edvard Munch/edvard-munch-marta-sandal-1902-expressionism.jpg,"a drawing of a woman in a white dress
"
Edvard Munch/Caricature Portrait of Tulla Larsen-Edvard Munch- 1905-Expressionism.jpeg,"two paintings of a man and woman with red hair
"
Edvard Munch/Self-portrait-with-cigarette-Edvard-Munch-1895-Expressionism.jpg,"edvard munch self portrait painting
"
Edvard Munch/Self Portrait Between the clock and the bed- Edvard Munch- 1943-Expressionism.jpg,"a painting of a man standing in front of a bed
"
Edvard Munch/Golgotha_Edvard Munch_1900_Expressionism.jpeg,"edvard munch - the cross
"
Edvard Munch/August_Stringberg_By_Edward_Munch_1912_Expressionism.jpg,"a drawing of a woman with a mustache
"
Edvard Munch/Edvard_Munch-Anxiety-1894-Expressionism.jpg,"the scream, edvard munch
"
Edvard Munch/The Scream-Edward Munch-Expressionism-1893.jpg,"the scream, edvard munch
"
Edvard Munch/Edvard_Munch-Jealousy_-1895_Expressionism.jpg,"edvard munch, the three friends, oil on canvas, c 1910
"
Edvard Munch/summer-night-inger-on-the-beach-edvard-munch-1889-expressionism.jpg,"a painting of a woman sitting on rocks by the water
"
Edvard Munch/Ashes-Edvard Munch-1895-Expressionism.jpeg,"edvard munch the girl with the red hair
"
Edvard Munch/The_Girls_on_the_Bridge-Edvard Munch-1901-Expressionism.jpg,"a painting of three women standing on a bridge
"
Edvard Munch/Edvard_Munch_-_Melancholy_(1894)- Expressionism.jpg,"a painting of a man sitting on the beach
"
Edvard Munch/Girls_on_the_pier-Edvard Munch-1901-Expressionism.jpg,"edvard munch, the three girls on the bridge, 1891
"
Edvard Munch/Love and Pain- Edvard Munch- 1895-Expressionism.jpg,"edvard munch, the woman with the red hair, 1892
"
Edvard Munch/Model in Wicker Chair- Edvard Munch-1921-Expressionism.jpeg,"a painting of a woman sitting in a chair
"
Edvard Munch/Spring-Edvard Munch-1889-Expressionism.jpg,"a painting of two women sitting in front of a window
"
Edvard Munch/self-portrait-with-the-spanish-flu-edvard-munch-1919-expressionism.jpg,"edvard munch, self portrait, oil on canvas, 1893
"
Edvard Munch/The Sick Child- Edvard Munch-1886-Expressionism.jpg,"edvard munch, the woman with the child, 1887
"
"Arpita singh Rama/arpita-singh-this-could-be-us,-you-or-anybody-else.jpg","a blue and white poster with a picture of two people sitting on a bench
"
Arpita singh Rama/arpita-singh-untitled (13).jpg,"two men sitting on a bench with flowers
"
Arpita singh Rama/arpita-singh-untitled (10).jpg,"a drawing of a mountain with a rock in the middle
"
Arpita singh Rama/arpita-singh-jars.jpg,"a painting with a man sitting in front of a yellow background
"
Arpita singh Rama/arpita-singh-read-signs-carefully.jpg,"an abstract painting with numbers and letters on it
"
Arpita singh Rama/arpita-singh-words-can-fly.jpg,"a painting of two people sitting on a pink couch
"
Arpita singh Rama/arpita-singh-untitled (1).jpg,"a painting of people in the water with a boat
"
Arpita singh Rama/arpita-singh-girl-at-the-window.jpg,"a painting of people in a city with a man in the window
"
Arpita singh Rama/arpita-singh-untitled (11).jpg,"a painting of a man sitting in a chair with other people around him
"
Arpita singh Rama/arpita-singh-watching.jpg,"a painting of men sitting in chairs with a sign that says ""the men in the chairs""
"
Arpita singh Rama/arpita-singh-women.jpg,"three women by josef albers
"
Arpita singh Rama/arpita-singh-untitled (9).jpg,"a drawing of people in a field with flowers
"
Arpita singh Rama/arpita-singh-untitled-(couple).jpg,"two men sitting on a bench with flowers
"
"Arpita singh Rama/arpita-singh-untitled,-2003.jpg","a painting of a man with his arms outstretched
"
Arpita singh Rama/arpita-singh-untitled (12).jpg,"a painting with people and birds on it
"
Arpita singh Rama/arpita-singh-untitled (7).jpg,"a painting of people and ducks in a field
"
Arpita singh Rama/arpita-singh-jars (1).jpg,"a painting of a man sitting in a chair
"
"Arpita singh Rama/arpita-singh-just-one-page,--with-selucus‘s-coin.jpg","a drawing of a boat and a man on a boat
"
Arpita singh Rama/arpita-singh-untitled (2).jpg,"a drawing of a woman with a face and hands
"
Arpita singh Rama/arpita-singh-i-could-see-london-through-clouds.jpg,"a yellow and black drawing of people walking around
"
Arpita singh Rama/arpita-singh-women (1).jpg,"three people sitting on a bench by josef albers
"
Arpita singh Rama/arpita-singh-untitled.jpg,"a painting with people on it and a phone
"
Arpita singh Rama/arpita-singh-untitled (3).jpg,"a drawing of a man sitting on a chair with birds
"
Arpita singh Rama/arpita-singh-untitled (5).jpg,"an abstract painting with yellow lines and black lines
"
Arpita singh Rama/arpita-singh-untitled (4).jpg,"a painting with a woman sitting in a chair surrounded by animals
"
Arpita singh Rama/arpita-singh-twenty-seven-ducks-of-memory.jpg,"an abstract painting with many different colors and shapes
"
Arpita singh Rama/arpita-singh-untitled (8).jpg,"a painting with a woman and a man on it
"
Arpita singh Rama/arpita-singh-untitled (6).jpg,"a painting with a woman sitting in a chair surrounded by animals
"
Manjit Bawa/Woman and Blue Bird_Manjit Bawa.jpg,"a painting of two women with birds on their arms
"
Manjit Bawa/Gaja Lakshmi_Manjit Bawa.png,"the goddess of the universe, with elephants and other animals
"
Manjit Bawa/Goddess Durga_Manjit Bawa.jpeg,"the cover of the book is a painting of a woman riding a horse
"
Manjit Bawa/Untitled_Manjit Bawa.png,"a drawing of a goat and a dog
"
Manjit Bawa/Shiva and Parvati_Manjit Bawa.jpg,"a painting of a woman with a goat on her head
"
Manjit Bawa/Encounter_Manjit Bawa.png,"a man and a lion in a yellow room
"
Manjit Bawa/The Green Bird_Manjit Bawa.png,"a painting of a woman holding a green parrot
"
Manjit Bawa/Head_Manjit Bawa.png,"a painting of a man with a beard and turban
"
Manjit Bawa/Bhavna VI_Manjit Bawa.png,"the cover of the book, the story of the blue bird
"
Manjit Bawa/Lion with Fire Ring_Manjit Bawa.png,"a red square with a white lion on it
"
Manjit Bawa/The Acrobat_Manjit Bawa.jpeg,"the horse and rider are in a cross stitch pattern
"
Manjit Bawa/Bhavna I_Manjit Bawa.jpg,"a painting of a man playing a flute with cows
"
Manjit Bawa/Cow and Calf_Manjit Bawa.jpeg,"a painting of two cows standing next to each other
"
Manjit Bawa/The Flute Player_Manjit Bawa.png,"a painting of a man playing the flute
"
Manjit Bawa/The Bull_Manjit Bawa.png,"a painting of a white bull on a red background
"
Manjit Bawa/Jogan_Manjit Bawa.png,"a painting of a woman in a yellow dress sitting on the ground
"
Manjit Bawa/Radha Krishna_Manjit Bawa.png,"a painting of krishna and a cow
"
Manjit Bawa/Goat and tree_Manjit Bawa.jpg,"a painting of a blue goat standing next to a yellow tree
"
"Georges Seruat/Farm_Women_at_Work_by_Georges_Seurat,_1882-83.JPG","a painting of two women working in the field
"
Georges Seruat/George seruat A man leaning against a Parape.jpg,"a painting of a person standing by a tree
"
Georges Seruat/Georges_Seurat_-_Houses_and_Garden_PC_29.jpg,"a painting of a house in the distance with a field in the foreground
"
Georges Seruat/Georges_Seurat_ forest at sunset.jpg,"a painting of a road at sunset
"
Georges Seruat/georges-seurat-lighthouse-at-honfleur.jpg,"a painting of a lighthouse on the beach with a boat in the foreground
"
Georges Seruat/Georges_Seurat_Massive figure in a meadow in Barbizon[.jpg,"a painting of a woman sitting on a bench in the grass
"
Georges Seruat/paul-signac-antibes-soir.jpg,"a painting of a village on the water with trees
"
Georges Seruat/Georges_Seurat_-Landscape in the Île-de-France[.jpg,"a painting of a house in the middle of a field
"
Georges Seruat/Georges_Seurat_-_Ouvriers_enfoncant_des_pieux_PC13.jpg,"a painting of a beach with a fence and a house
"
Georges Seruat/George seruat The Mower.jpg,"a painting of a man working in a field
"
"Georges Seruat/_Field_in_Barbizon__by_Georges_Seurat,_circa_1882.jpg","a painting of a field with a red sky and trees
"
Georges Seruat/George seruat Paysage rose[.jpg,"a painting of a road in the woods
"
Georges Seruat/Georges_Seurat_-_Le_petit_paysan_en_bleu.jpg,"a painting of a boy wearing a hat and a blue shirt
"
Georges Seruat/Georges_Seura White houses in Ville d_Avray.jpg,"a painting of a field with houses in the distance
"
Georges Seruat/George seruat Vase of Flowers.jpg,"a painting of a vase with red flowers in it
"
Georges Seruat/Seurat_Foresta_di_Barbizon.jpg,"a painting of a field with trees and grass
"
Georges Seruat/George seurat      Head of a young girl.jpg,"a painting of a woman with her head down
"
Georges Seruat/Georges_Seurat_ landscape at stake.jpg,"a painting of a field with trees and a fence
"
Georges Seruat/Georges_Seurat Summer[1.jpg,"a painting of a road in the country with trees and grass
"
Georges Seruat/George seruat Man with a Hoe.jpg,"a painting of a man in a field with a hoe
"
Georges Seruat/George seruat The_Forest_at_Pontaubert_MET_DT2165.jpg,"a painting of a forest with trees and grass
"
Georges Seruat/George seruat Sunset.jpg,"a painting of trees in a field at sunset
"
Georges Seruat/Georges_Seurat_-_The_Riverside_PC_10.jpg,"a painting of a river with trees and a house
"
